latitude,lngitude,radius
-37.820123,144.957552,592.5
-37.815196,144.96297,583.3333333
-37.815992,144.961028,377.5
-37.818071,144.957211,586.6666667
-37.809264,144.971708,528.3333333
-37.812723,144.960164,602.5
-37.819101,144.954229,430
-37.809538,144.964091,586.6666667
-37.814395,144.963537,564.1666667
-37.815493,144.956714,528.3333333
-37.81354,144.971421,430.8333333
-37.814896,144.971668,604.1666667
-37.81653,144.961967,538.3333333
-37.820744,144.955485,557.5
-37.815858,144.954818,545
-37.818162,144.959934,459.1666667
-37.813175,144.952919,595
-37.812084,144.967997,562.5
-37.819576,144.95985,475.8333333
-37.818202,144.954367,465.8333333
-37.814225,144.971971,411.6666667
-37.816891,144.961957,405.8333333
-37.815309,144.969476,517.5
-37.815488,144.966824,474.1666667
-37.81607,144.957254,392.5
-37.814431,144.954653,463.3333333
-37.809081,144.96893,603.3333333
-37.814257,144.96337,534.1666667
-37.816158,144.960706,619.1666667
-37.811126,144.962116,500.8333333
-37.814263,144.972105,570
-37.813167,144.965468,528.3333333
-37.815793,144.958295,504.1666667
-37.810219,144.9618,380
-37.810065,144.963281,530
-37.81808,144.95692,594.1666667
-37.816217,144.970928,442.5
-37.815777,144.970508,566.6666667
-37.811928,144.956414,624.1666667
-37.817779,144.955969,482.5
-37.811627,144.965056,496.6666667
-37.81751,144.959237,539.1666667
-37.814765,144.969286,503.3333333
-37.811269,144.957909,473.3333333
-37.812711,144.959971,544.1666667
-37.817483,144.959445,597.5
-37.814398,144.96632,555.8333333
-37.815975,144.955905,420.8333333
-37.813381,144.959612,511.6666667
-37.81679,144.96918,415.8333333
-37.816299,144.95902,398.3333333
-37.815296,144.958369,501.6666667
-37.818166,144.964831,516.6666667
-37.813963,144.957301,562.5
-37.812845,144.968248,597.5
-37.809041,144.971828,619.1666667
-37.814265,144.971685,436.6666667
-37.815461,144.962656,537.5
-37.815195,144.974409,439.1666667
-37.814989,144.960908,490.8333333
-37.818656,144.956626,387.5
-37.811022,144.959234,465.8333333
-37.809885,144.963286,600
-37.81524,144.95256,444.1666667
-37.812379,144.956402,497.5
-37.812343,144.954135,601.6666667
-37.81239,144.9712,585
-37.81922,144.958485,432.5
-37.810382,144.971223,496.6666667
-37.818218,144.960705,589.1666667
-37.811625,144.964919,387.5
-37.810911,144.96269,390
-37.810641,144.970534,410.8333333
-37.819471,144.960069,485
-37.815371,144.973076,450.8333333
-37.81517,144.97476,572.5
-37.813545,144.971705,435.8333333
-37.815549,144.966686,466.6666667
-37.816822,144.963209,588.3333333
-37.818474,144.956805,445.8333333
-37.811398,144.972672,443.3333333
-37.811251,144.964157,566.6666667
-37.818018,144.964596,437.5
-37.816011,144.972058,580.8333333
-37.813463,144.973217,460
-37.81631,144.964351,424.1666667
-37.817386,144.96123,510.8333333
-37.809969,144.97078,519.1666667
-37.815387,144.968815,611.6666667
-37.811313,144.972958,609.1666667
-37.812122,144.97071,481.6666667
-37.816356,144.962313,381.6666667
-37.809356,144.970729,508.3333333
-37.813447,144.966028,576.6666667
-37.816209,144.961635,513.3333333
-37.811678,144.962783,525.8333333
-37.816206,144.966634,540
-37.818494,144.957705,478.3333333
-37.812799,144.954686,378.3333333
-37.81215,144.961955,428.3333333
-37.814905,144.954913,385
-37.810996,144.967095,596.6666667
-37.815891,144.958861,475
-37.813573,144.973404,438.3333333
-37.817303,144.962344,539.1666667
-37.812653,144.956622,546.6666667
-37.814484,144.9635,600.8333333
-37.817069,144.961828,537.5
-37.81285,144.955026,596.6666667
-37.811978,144.962388,476.6666667
-37.812857,144.96843,521.6666667
-37.81852,144.957141,415.8333333
-37.816467,144.958334,550
-37.818151,144.96081,481.6666667
-37.810269,144.969863,534.1666667
-37.812088,144.970836,608.3333333
-37.812934,144.952075,405
-37.817384,144.959217,505.8333333
-37.816496,144.96509,414.1666667
-37.82091,144.955155,450.8333333
-37.816122,144.964421,553.3333333
-37.811533,144.972614,619.1666667
-37.812899,144.959886,577.5
-37.812578,144.965314,453.3333333
-37.817261,144.962515,425
